sk_name, rows, logcols, logcols_emem, hash_units, mpps
cm-sketch, 8, 10, 12, 8, 0.2729735342034263
cm-sketch, 8, 10, 14, 8, 0.23201390395125274
cm-sketch, 8, 10, 16, 8, 0.21559431481926505
cm-sketch, 8, 10, 18, 8, 0.21922034033705584
cm-sketch, 8, 10, 20, 8, 0.21858231940661962
cm-sketch, 10, 10, 10, 10, 0.21839117122218074
cm-sketch, 10, 10, 14, 10, 0.17696609340377437
cm-sketch, 10, 10, 18, 10, 0.1678139778836809
cm-sketch, 10, 10, 20, 10, 0.17486658188831355
