sk_name, rows, logcols, hash_units, mpps
cm-sketch, 8, 6, 8, 91.43813396062399
cm-sketch, 8, 8, 8, 91.43821986069449
cm-sketch, 8, 10, 8, 91.43796216096713
cm-sketch, 10, 6, 10, 91.43819122731972
cm-sketch, 10, 8, 10, 91.43821986069449
cm-sketch, 10, 10, 10, 91.43813396062399
