h, 0, 93.333, 70.571, 6.999999999999998, 1, 3.398, 0.013655, 98.000, 70.856, 6.999999999999973, 1, 5.098, 0.009037, 98.000, 70.856, 6.999999999999973, 1, 5.098, 0.007796, 98.000, 70.856, 7.0, 1, 5.098, 0.004783, 
h, 1, 80.000, 74.246, 7.000000000000001, 1, 101.953, 0.013017, 80.000, 74.246, 7.000000000000001, 1, 101.953, 0.014415, 80.000, 74.246, 7.000000000000001, 1, 101.953, 0.014019, 80.000, 73.644, 7.0, 1, 84.961, 0.011330, 
h, 2, 56.000, 73.111, 7.0, 1, 0.000, 0.011252, 56.000, 73.111, 7.0, 1, 0.000, 0.010690, 56.000, 73.111, 7.0, 1, 0.000, 0.011054, 56.000, 73.111, 7.0, 1, 0.000, 0.007099, 
h, 3, -, -, -, -, -, 120.109012, 87.500, 655.902, 55.999999999999986, 8, 570.938, 0.422303, 87.500, 645.902, 54.999999999999986, 8, 570.938, 0.628959, 87.500, 645.617, 55.0, 8, 569.238, 2.706595, 
h, 4, 93.333, 72.183, 6.999999999999998, 1, 8.680, 0.016455, 98.000, 73.035, 6.999999999999973, 1, 25.672, 0.009768, 98.000, 73.035, 6.999999999999973, 1, 25.672, 0.010391, 98.000, 73.035, 7.0, 1, 25.672, 0.005962, 
h, 5, 87.500, 133.017, 12.999999999999996, 2, 1.098, 0.022930, 56.000, 111.502, 11.0, 2, 0.340, 0.029745, 87.500, 133.017, 12.999999999999996, 2, 1.098, 0.026062, 87.500, 133.017, 13.0, 2, 1.098, 0.052454, 
h, 6, 70.000, 104.884, 10.000000000000055, 2, 1.098, 0.026453, 35.000, 113.111, 11.0, 2, 0.000, 0.024077, 70.000, 104.884, 10.000000000000052, 2, 1.098, 0.030582, 76.360, 124.884, 12.0, 2, 1.098, 0.061781, 
h, 7, 70.000, 115.125, 10.000000000000055, 2, 492.703, 0.027598, 70.000, 125.125, 11.0, 2, 492.703, 0.037989, 70.000, 125.125, 11.0, 2, 492.703, 0.038474, 76.360, 135.125, 12.0, 2, 492.703, 0.096519, 
h, 8, 148.000, 2.874, 0, 0, 101.941, 0.008191, 148.000, 2.874, 0, 0, 101.941, 0.006787, 148.000, 2.874, 0, 0, 101.941, 0.009415, 148.000, 2.874, 0, 0, 101.941, 0.002668, 
h, 9, -, -, -, -, -, 0.926010, 70.000, 619.662, 48.00000000000005, 8, 3925.195, 0.422546, 70.000, 619.662, 48.00000000000039, 8, 3925.195, 0.635096, 75.791, 679.662, 54.0, 8, 3925.195, 3.769448, 
h, 10, 
h, 11, 87.500, 1370.868, 136.99999999999997, 20, 5.098, 0.938691, 93.333, 1333.702, 131.99999999999997, 20, 81.562, 0.150430, 93.333, 1333.702, 131.99999999999997, 20, 81.562, 0.180098, 93.324, 1273.702, 126.0, 20, 81.562, 2.588163, 
h, 12, 80.000, 70.622, 7.000000000000001, 1, 0.000, 0.026501, 80.000, 70.622, 7.000000000000001, 1, 0.000, 0.024922, 80.000, 70.622, 7.000000000000001, 1, 0.000, 0.026897, 80.000, 70.622, 7.0, 1, 0.000, 0.011981, 
h, 13, 93.333, 75.708, 6.999999999999998, 1, 33.984, 0.033446, 98.000, 78.562, 6.999999999999973, 1, 50.977, 0.031479, 98.000, 78.562, 6.999999999999973, 1, 50.977, 0.051326, 98.000, 78.562, 7.0, 1, 50.977, 0.011939, 
v, 0, 93.333, 70.428, 6.999999999999998, 1, 2.549, 0.012239, 98.000, 70.856, 6.999999999999973, 1, 5.098, 0.007297, 98.000, 70.856, 6.999999999999973, 1, 5.098, 0.006964, 98.000, 70.856, 7.0, 1, 5.098, 0.003745, 
v, 1, 70.000, 83.392, 7.0, 1, 576.000, 0.011884, 70.000, 83.382, 7.0, 1, 575.538, 0.012533, 80.528, 84.124, 7.00000000000003, 1, 575.538, 0.014181, 80.529, 84.125, 7.0, 1, 575.577, 0.010229, 
v, 2, 56.000, 85.057, 7.0, 1, 576.000, 0.011334, 56.000, 85.006, 7.0, 1, 573.509, 0.010778, 56.000, 85.006, 7.0, 1, 573.509, 0.011146, 56.000, 73.111, 7.0, 1, 0.000, 0.007168, 
v, 3, -, -, -, -, -, 0.064935, 93.333, 655.898, 55.99999999999999, 8, 570.934, 0.159632, 93.333, 655.898, 55.99999999999999, 8, 570.934, 0.211051, 93.324, 655.359, 56.0, 8, 567.721, 0.703317, 
v, 4, 93.333, 72.391, 6.999999999999998, 1, 12.836, 0.011661, 98.000, 73.035, 6.999999999999973, 1, 25.672, 0.007823, 98.000, 73.035, 6.999999999999973, 1, 25.672, 0.007990, 98.000, 73.035, 7.0, 1, 25.672, 0.004405, 
v, 5, 70.000, 124.217, 10.999999999999996, 2, 576.000, 0.021629, 56.000, 113.197, 10.0, 2, 575.038, 0.022467, 87.500, 154.946, 13.999999999999993, 2, 575.038, 0.022498, 87.491, 132.842, 12.999999999999412, 2, 0.866, 0.066596, 
v, 6, 56.000, 126.058, 11.0, 2, 576.000, 0.026950, 56.000, 116.006, 10.0, 2, 573.509, 0.029106, 87.500, 156.756, 13.999999999999993, 2, 573.509, 0.026151, 87.491, 154.505, 14.0, 2, 464.991, 0.054972, 
v, 7, 35.000, 107.013, 8.0, 2, 1149.518, 0.024138, 87.500, 168.748, 14.000000000000165, 2, 1149.518, 0.025153, 87.500, 168.748, 13.999999999999993, 2, 1149.518, 0.026836, 87.491, 164.747, 14.0, 2, 956.597, 0.077986, 
