h, 11, 93.333, 1273.702, 
h, 12, 80.000, 70.622, 
v, 11, 88.880, 1263.149, 
v, 12, 83.325, 199.780, 
hv, 11, 88.880, 1263.149, 
hv, 12, 83.325, 199.781, 
n, 11, 87.500, 1093.702, 
n, 12, 80.000, 70.622, 
