hv, 11, 87.500, 1400.827, 93.333, 1413.702, 93.333, 1413.701, 93.324, 1263.339,
hv, 12, 87.500, 312.094, 87.500, 312.094, 87.500, 312.094, 87.491, 240.966,  
h, 3, -, -, 80.000, 635.906, 80.000, 645.906, 80.000, 595.906, 
v, 9, -, -, 80.000, 663.401, 80.000, 653.401, 79.992, 602.318, 
