h, 0, 93.333, 70.571, 93.333, 60.856, 93.333, 60.856, 93.333, 60.856, 
h, 1, 80.000, 74.246, 80.000, 74.246, 80.000, 74.246, 80.000, 73.644, 
h, 2, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 
h, 3, -, -, 80.000, 635.906, 80.000, 645.906, 80.000, 595.906, 
h, 4, 80.000, 70.855, 93.333, 63.035, 93.333, 63.035, 93.333, 63.035, 
h, 5, 87.500, 133.017, 56.000, 111.502, 87.500, 133.017, 87.500, 133.017, 
h, 6, 70.000, 104.884, 50.907, 113.111, 70.000, 114.884, 76.360, 124.884, 
h, 7, 70.000, 125.126, 70.000, 115.126, 70.000, 125.127, 76.360, 135.125, 
h, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
h, 9, -, -, 35.000, 469.712, 35.000, 399.712, 67.379, 669.712, 
h, 11, 87.500, 1380.868, 93.333, 1333.702, 93.333, 1333.702, 93.333, 1273.702, 
h, 12, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 
v, 0, 93.333, 70.428, 93.333, 60.856, 93.333, 60.856, 93.333, 60.856, 
v, 1, 70.000, 83.382, 80.000, 74.124, 80.000, 74.124, 76.694, 69.730, 
v, 2, 56.000, 85.006, 56.000, 85.006, 56.000, 85.006, 56.000, 73.111, 
v, 3, -, -, 87.500, 655.899, 87.500, 655.899, 83.325, 585.335, 
v, 4, 80.000, 70.647, 93.333, 63.035, 93.333, 63.035, 93.333, 63.035, 
v, 5, 56.000, 113.197, 56.000, 113.197, 87.500, 154.946, 83.325, 132.788, 
v, 6, 35.000, 95.006, 35.000, 95.006, 87.500, 156.756, 83.325, 144.872, 
v, 7, 87.500, 168.800, 35.000, 107.013, 87.500, 168.748, 83.325, 154.970, 
v, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
v, 9, -, -, 87.500, 703.391, 87.500, 703.391, 83.325, 663.366,  
v, 11, 86.713, 1200.827, 93.333, 1413.701, 93.333, 1413.701, 88.880, 1263.141, 
v, 12, 87.500, 312.094, 87.500, 312.094, 87.500, 312.094, 83.325, 199.780, 
hv, 0, 93.333, 70.428, 93.333, 60.856, 93.333, 60.856, 93.333, 60.856, 
hv, 1, 80.000, 83.887, 56.000, 82.639, 80.000, 74.124, 76.694, 69.730, 
hv, 2, 56.000, 85.057, 56.000, 85.006, 56.000, 85.006, 56.000, 73.111, 
hv, 3, -, -, 87.500, 655.899, 87.500, 655.899, 83.325, 585.164, 
hv, 4, 80.000, 70.647, 93.333, 63.035, 93.333, 63.035, 93.333, 63.035, 
hv, 5, 56.000, 113.217, 63.923, 133.197, 87.500, 154.946, 83.325, 132.788, 
hv, 6, 35.000, 105.058, 70.000, 136.256, 87.500, 156.756, 83.325, 144.883, 
hv, 7, 56.000, 137.802, 56.000, 137.750, 87.500, 168.748, 83.325, 154.966, 
hv, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
hv, 9, -, -, 87.500, 703.408, 87.500, 703.408, 83.325, 701.840, 
hv, 11, 86.713, 1200.827, 93.333, 1413.701, 93.333, 1413.701, 88.880, 1263.141, 
hv, 12, 87.500, 312.094, 87.500, 312.094, 87.500, 312.094, 83.325, 199.780, 
n, 0, 87.500, 70.001, 93.333, 60.856, 93.333, 60.856, 93.333, 60.856, 
n, 1, 80.000, 74.246, 80.000, 74.246, 80.000, 74.246, 80.000, 74.246, 
n, 2, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 56.000, 73.111, 
n, 3, -, -, 80.000, 635.908, 80.000, 635.908, 80.000, 635.908, 
n, 4, 79.732, 61.281, 93.333, 63.035, 93.333, 63.035, 93.333, 63.035, 
n, 5, 74.679, 113.017, 50.793, 92.016, 74.679, 113.017, 71.115, 113.017, 
n, 6, 53.328, 94.884, 20.807, 83.111, 48.555, 84.884, 56.000, 94.884, 
n, 7, 53.328, 105.126, 53.328, 105.125, 48.555, 95.125, 56.000, 105.125, 
n, 8, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 148.000, 2.874, 
n, 9, -, -, 70.000, 609.668, 70.000, 609.668, 70.000, 609.668, 
n, 11, 87.500, 1380.868, 87.500, 1093.702, 87.500, 1093.702, 87.500, 1093.702, 
n, 12, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 80.000, 70.622, 
h, 9, -, -, 75.790, 699.674, 75.791, 699.674, 75.791, 699.674, 
v, 9, -, -, 70.000, 613.452, 70.000, 603.448, 72.842, 663.452, 
hv, 9, -, -, 87.500, 703.399, 87.500, 703.399, 83.325, 682.422, 
n, 9, -, -, 70.000, 649.662, 70.000, 619.662, 75.791, 679.662, 
