vary_cluster_size_cpu_triangle, v-noinit, cluster_size=6;num_cpus=20, 93.333, 1313.701, 129.99999999999997, 20, 81.560, 0.245404, 93.333, 1303.701, 128.99999999999997, 20, 81.560, 0.204371, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=7;num_cpus=20, 93.333, 1303.701, 128.99999999999997, 20, 81.560, 0.177364, 93.333, 1303.701, 128.99999999999997, 20, 81.560, 0.188427, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=8;num_cpus=20, 87.500, 1093.701, 108.0, 20, 81.560, 0.167025, 87.500, 1093.701, 108.0, 20, 81.560, 0.186997, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=9;num_cpus=20, 87.500, 1093.702, 108.0, 20, 81.562, 0.176664, 87.500, 1093.702, 108.0, 20, 81.562, 0.182638, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=10;num_cpus=20, 93.333, 1303.701, 128.99999999999997, 20, 81.560, 0.180643, 93.333, 1303.701, 128.99999999999997, 20, 81.560, 0.193294, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=11;num_cpus=20, 87.500, 1103.702, 109.0, 20, 81.562, 0.159987, 87.500, 1093.702, 108.0, 20, 81.562, 0.172673, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=12;num_cpus=20, 87.500, 1103.702, 109.0, 20, 81.562, 0.158338, 87.500, 1083.702, 107.0, 20, 81.562, 0.179522, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=13;num_cpus=20, 87.500, 1093.702, 108.0, 20, 81.562, 0.163800, 87.500, 1083.702, 107.0, 20, 81.562, 0.168395, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=14;num_cpus=20, 87.500, 1093.702, 108.0, 20, 81.562, 0.220872, 87.500, 1093.702, 108.0, 20, 81.562, 0.178899, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=15;num_cpus=20, 93.333, 1293.702, 127.99999999999999, 20, 81.562, 0.175067, 93.333, 1283.702, 127.0, 20, 81.562, 0.193277, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=16;num_cpus=20, 93.333, 1313.702, 129.99999999999997, 20, 81.562, 0.180269, 93.333, 1293.702, 128.0, 20, 81.562, 0.193457, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=17;num_cpus=20, 87.500, 1103.702, 109.0, 20, 81.562, 0.162445, 87.500, 1093.702, 108.0, 20, 81.562, 0.174982, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=18;num_cpus=20, 93.333, 1313.702, 129.99999999999997, 20, 81.562, 0.175538, 93.333, 1293.702, 128.0, 20, 81.562, 0.188484, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=19;num_cpus=20, 87.500, 1093.702, 108.0, 20, 81.562, 0.156452, 87.500, 1083.702, 107.0, 20, 81.562, 0.175974, 
vary_cluster_size_cpu_triangle, v-noinit, cluster_size=20;num_cpus=20, 93.333, 1283.701, 126.99999999999999, 20, 81.560, 0.158318, 93.333, 1273.701, 125.99999999999999, 20, 81.560, 0.171234, 


