v, 12, 87.500, 312.094, 6.9999999999999964, 11516.055, 0.026988, 87.500, 312.094, 6.9999999999999964, 11516.055, 0.031625, 87.500, 312.094, 6.999999999999997, 11516.055, 0.036449, 83.325, 199.780, 7.0, 6159.690, 0.015099, 
v, 13, 93.333, 75.708, 6.999999999999998, 33.983, 0.025188, 93.333, 68.562, 5.9999999999999964, 50.977, 0.022705, 93.333, 68.562, 5.9999999999999964, 50.977, 0.033289, 93.333, 68.562, 6.0, 50.977, 0.010376, 
hv, 0, 93.333, 70.428, 6.999999999999998, 2.549, 0.012590, 93.333, 60.856, 5.9999999999999964, 5.098, 0.009053, 93.333, 60.856, 5.9999999999999964, 5.098, 0.008347, 93.333, 60.856, 6.0, 5.098, 0.004850, 
hv, 1, 56.000, 82.649, 7.0, 576.000, 0.013609, 56.000, 82.639, 7.0, 575.538, 0.013555, 80.000, 74.124, 6.000000000000073, 575.538, 0.015726, 76.694, 69.730, 6.000000000000003, 364.877, 0.015768, 
hv, 2, 56.000, 85.057, 7.0, 576.000, 0.011024, 56.000, 85.006, 7.0, 573.509, 0.010836, 56.000, 85.006, 7.0, 573.501, 0.011724, 56.000, 73.111, 7.0, -0.000, 0.007872, 
hv, 3, -, -, -, -, 0.167362, 87.500, 575.899, 48.0, 570.934, 0.345225, 87.500, 575.899, 48.0, 570.934, 0.409159, 85.017, 575.574, 48.0, 569.000, 5.527144, 
hv, 4, 93.333, 72.391, 6.999999999999998, 12.836, 0.016781, 93.333, 63.035, 5.9999999999999964, 25.672, 0.010889, 93.333, 63.035, 5.9999999999999964, 25.672, 0.011207, 93.333, 63.035, 6.0, 25.672, 0.005756, 
hv, 5, 56.000, 113.217, 10.0, 576.000, 0.024246, 56.000, 113.197, 10.0, 575.038, 0.028007, 87.500, 154.946, 13.999999999999993, 575.038, 0.024596, 83.325, 132.788, 13.000000000000103, 0.795, 0.083009, 
hv, 6, 35.000, 105.058, 9.0, 576.000, 0.028724, 35.000, 105.006, 9.0, 573.509, 0.028475, 87.500, 156.756, 13.999999999999993, 573.509, 0.028975, 83.325, 144.871, 14.0, 1.080, 0.059529, 
hv, 7, 35.000, 117.064, 9.0, 1152.000, 0.027985, 35.000, 117.013, 9.0, 1149.518, 0.030773, 87.500, 168.748, 13.999999999999993, 1149.518, 0.029707, 83.325, 154.966, 13.999999999999986, 485.592, 0.080571, 
hv, 8, 148.000, 2.874, 0, 101.941, 0.006250, 148.000, 2.874, 0, 101.941, 0.005905, 148.000, 2.874, 0, 101.941, 0.008399, 148.000, 2.874, 0, 101.941, 0.002790, 
