2, 6, 262144, 16, 5.307072471011596
2, 6, 262144, 8, 5.310005197920832
2, 6, 4096, 16, 7.643318904328701
2, 6, 4096, 8, 7.627131060681796
2, 6, 512, 16, 7.856400679796061
2, 6, 512, 8, 7.853233591602098
2, 6, 64, 16, 7.952294941011797
2, 6, 64, 8, 8.051535139458164
2, 6, 65536, 16, 6.046433170048986
2, 6, 65536, 8, 6.068908745627186
2, 6, 8192, 16, 7.494936425429828
2, 6, 8192, 8, 7.52363810856743
4, 6, 262144, 16, 10.662464860541837
4, 6, 262144, 4, 10.570826334733052
4, 6, 262144, 8, 10.478948815355395
4, 6, 4096, 16, 14.762417374787564
4, 6, 4096, 4, 14.96740167949615
4, 6, 4096, 8, 14.866524090363855
4, 6, 512, 16, 15.438124362691193
4, 6, 512, 4, 15.379425729708117
4, 6, 512, 8, 15.432137958612415
4, 6, 64, 16, 15.61229931020694
4, 6, 64, 4, 15.66843257022893
4, 6, 64, 8, 15.651719784064781
4, 6, 65536, 16, 11.074237628711385
4, 6, 65536, 4, 11.154654303708886
4, 6, 65536, 8, 11.076700589823052
4, 6, 8192, 16, 14.125554833549936
4, 6, 8192, 4, 14.6164744576627
4, 6, 8192, 8, 14.103617414775567
